TITLE,'2021-08-02','2021-08-09','2021-08-16','2021-08-23','2021-08-30','2021-09-06','2021-11-01','2021-11-08','2021-11-15'
--,,,,,554.0,168.0,903.0,1186.0,1171
adaptiva-and-delegated-calenders,5.0,4.0,5.0,1.0,13.0,6.0,5.0,2.0,7
adobe-flash-end-of-life,3.0,5.0,9.0,9.0,21.0,4.0,4.0,2.0,5
android-10,11.0,6.0,17.0,11.0,17.0,10.0,8.0,17.0,11
android-10-and-device-admin-deprecation,11.0,6.0,17.0,11.0,17.0,10.0,8.0,17.0,11
android-device-admin-deprecation,10.0,4.0,4.0,4.0,19.0,8.0,5.0,5.0,5
android-enterprise-workshop,2.0,5.0,6.0,5.0,22.0,10.0,4.0,8.0,9
android-launcher-and-workspace-one-uem-2105,6.0,89.0,16.0,23.0,18.0,8.0,12.0,33.0,34
android-launcher-update,,,,,,,206.0,149.0,172
android-native-check-incheck-out-cico,8.0,20.0,16.0,23.0,37.0,26.0,53.0,181.0,179
app-config-and-horizon-on-microsoft-azure,3.0,8.0,7.0,7.0,18.0,5.0,10.0,10.0,7
app-volumes-4,3.0,11.0,16.0,10.0,20.0,8.0,3.0,3.0,4
app-volumes-4-podcast,5.0,6.0,8.0,4.0,18.0,7.0,174.0,32.0,35
apple-apns-deprecation,7.0,6.0,11.0,12.0,29.0,8.0,7.0,10.0,8
apple-updates-from-wwdc,9.0,12.0,17.0,32.0,26.0,13.0,13.0,4.0,8
apple-wwdc-wrap-up,4.0,7.0,7.0,5.0,12.0,3.0,11.0,8.0,5
bogo-horizon-8-2006-and-workspace-one-proximity,3.0,10.0,9.0,5.0,20.0,12.0,8.0,3.0,10
boxer-history-and-upcoming-changes,23.0,11.0,47.0,32.0,38.0,22.0,14.0,12.0,15
brian-madden-and-workspace-one-uem-1912,1.0,1.0,,2.0,1.0,4.0,5.0,4.0,1
chrome-os-certificate-extensions,3.0,7.0,4.0,5.0,15.0,4.0,8.0,3.0,4
cmmc-compliance,5.0,4.0,6.0,10.0,24.0,4.0,10.0,7.0,10
community-series-5-getting-started-with-horizon-automation-tools,3.0,3.0,8.0,13.0,24.0,8.0,27.0,131.0,196
corporate-owned-personally-enabled-mode-on-android,5.0,6.0,20.0,3.0,180.0,6.0,8.0,14.0,6
credentia-and-macos,9.0,6.0,9.0,6.0,19.0,17.0,10.0,4.0,7
day-0-on-boarding-and-new-access-features,3.0,3.0,9.0,3.0,17.0,6.0,12.0,32.0,25
device-management-options-for-byod,4.0,6.0,7.0,6.0,16.0,7.0,8.0,18.0,16
enterprise-app-repository,28.0,22.0,35.0,61.0,51.0,19.0,104.0,19.0,14
enterprise-app-repository-from-a-customers-point-of-view,7.0,8.0,9.0,37.0,31.0,6.0,278.0,218.0,34
experience-workflows,10.0,7.0,11.0,21.0,33.0,18.0,13.0,14.0,14
experts-talk-community-series-1-vdi-design-essentials,1.0,4.0,6.0,6.0,18.0,8.0,14.0,7.0,225
experts-talk-community-series-2-managing-windows-10-with-workspace-one,2.0,3.0,8.0,4.0,18.0,7.0,9.0,2.0,6
experts-talk-community-series-3-digital-workspace-in-the-time-of-covid-19,4.0,6.0,7.0,3.0,22.0,9.0,29.0,18.0,6
experts-talk-community-series-4-achieving-the-vcdx-certification-for-desktop-and-mobility,1.0,2.0,9.0,1.0,18.0,9.0,4.0,1.0,5
experts-talk-community-series-6-becoming-an-euc-vexpert,2.0,4.0,5.0,4.0,23.0,4.0,9.0,5.0,6
fedramp-and-uag-2012,9.0,8.0,18.0,18.0,35.0,5.0,10.0,101.0,127
forklift-for-workspace-one-uem,89.0,20.0,19.0,14.0,44.0,22.0,13.0,6.0,12
forklift-for-workspace-one-uem-update,,40.0,33.0,23.0,23.0,11.0,106.0,99.0,9
freestyle-orchestrator,6.0,7.0,11.0,14.0,34.0,11.0,17.0,18.0,13
frontline-worker-deep-dive,,,,,,,183.0,124.0,142
future-ready-workforce-with-dan-dulick,11.0,9.0,5.0,3.0,15.0,1.0,6.0,27.0,28
future-ready-workforce-with-david-wakeman,8.0,12.0,8.0,11.0,22.0,6.0,11.0,4.0,6
future-ready-workforce-with-pat-gelsinger,10.0,7.0,6.0,12.0,25.0,7.0,28.0,28.0,27
future-ready-workforce-with-sanjay-poonen,6.0,9.0,4.0,16.0,23.0,11.0,35.0,36.0,28
future-ready-workforce-with-shawn-bass,3.0,4.0,6.0,3.0,16.0,4.0,6.0,6.0,6
future-ready-workforce-with-wayne-hanson,4.0,6.0,6.0,11.0,24.0,15.0,11.0,33.0,31
hipaa-compliance-with-carbon-black-and-workspace-one-uem,2.0,4.0,4.0,6.0,24.0,5.0,4.0,100.0,126
horizon-8-2012-and-app-volumes-4-2012,4.0,7.0,6.0,3.0,20.0,17.0,12.0,7.0,8
horizon-cloud-service-on-microsoft-azure-updates,3.0,7.0,5.0,8.0,15.0,6.0,6.0,5.0,13
horizon-updates,2.0,6.0,7.0,3.0,22.0,9.0,7.0,2.0,7
hub-assistant,5.0,6.0,8.0,4.0,7.0,5.0,6.0,6.0,6
hub-services-and-access-updates,4.0,3.0,4.0,8.0,25.0,15.0,9.0,8.0,7
ios-and-android-multi-user-with-imprivata,102.0,12.0,28.0,23.0,32.0,22.0,17.0,9.0,19
macos-bootstrap-tokens,3.0,4.0,7.0,4.0,22.0,7.0,5.0,6.0,7
macos-troubleshooting,5.0,3.0,4.0,5.0,17.0,8.0,11.0,38.0,29
maintaining-business-continuity-in-difficult-times-part-1,3.0,4.0,4.0,2.0,15.0,8.0,7.0,1.0,4
maintaining-business-continuity-in-difficult-times-part-2,2.0,5.0,4.0,3.0,15.0,7.0,4.0,1.0,8
maintaining-business-continuity-in-difficult-times-part-3,3.0,3.0,6.0,1.0,11.0,4.0,9.0,1.0,4
managing-ios-versions-and-updates,1.0,5.0,6.0,2.0,10.0,6.0,18.0,3.0,5
migrating-from-tunnel-proxy-to-per-app-vpn,6.0,3.0,7.0,7.0,14.0,11.0,8.0,6.0,14
modern-management-perspective-from-the-field,5.0,5.0,8.0,7.0,21.0,9.0,9.0,31.0,32
moving-to-modern-management,8.0,6.0,28.0,62.0,52.0,7.0,12.0,10.0,10
moving-to-the-hub-services-app-catalog-from-the-legacy-airwatch-web-clip-catalog,43.0,13.0,117.0,29.0,28.0,14.0,16.0,16.0,9
only-updates,9.0,3.0,4.0,6.0,22.0,9.0,4.0,5.0,6
reference-architecture-update,2.0,3.0,6.0,4.0,12.0,7.0,6.0,2.0,4
releases-and-more-releases,3.0,3.0,,1.0,2.0,1.0,5.0,3.0,2
risk-analytics,2.0,6.0,4.0,4.0,16.0,5.0,7.0,5.0,129
security-resource-on-tech-zone,8.0,9.0,19.0,10.0,28.0,13.0,20.0,101.0,128
shared-ipad-for-business,9.0,12.0,11.0,8.0,23.0,12.0,9.0,11.0,11
smartfolio-and-general-updates,7.0,6.0,11.0,9.0,12.0,9.0,5.0,3.0,5
the-ascent-with-adarsh-and-brooks,3.0,4.0,6.0,5.0,15.0,7.0,9.0,4.0,12
unified-access-gateway-2106-release,23.0,24.0,29.0,36.0,42.0,34.0,10.0,11.0,7
updates-from-the-week-of-april-12-2021,2.0,4.0,6.0,4.0,17.0,7.0,9.0,4.0,6
updates-from-the-week-of-june-14-and-june-21-2021,7.0,7.0,9.0,173.0,17.0,12.0,113.0,211.0,29
vmware-dynamic-environment-manager-dem-integration-with-workspace-one-uem,,,86.0,86.0,160.0,,755.0,308.0,386
vmware-dynamic-environment-manager-dem-integration-with-workspace-one-uemosfpdetection,,,,,,,661.0,148.0,226
vmware-dynamic-environment-manager-dem-integration-with-workspace-one-uemvmware-dynamic-environment-manager-dem-integration-with-workspace-one-uemvmware-dynamic-environment-manager-dem-integration-with-workspace-one-uem,,,,,,,661.0,148.0,226
vmware-dynamic-environment-manager-dem-integration-with-workspace-one-uemx7dh577k,,,,,,,661.0,148.0,226
vmware-horizon-2106-release-overview,76.0,113.0,30.0,30.0,120.0,62.0,135.0,27.0,29
whats-new-with-drop-ship-provisioning,3.0,10.0,10.0,15.0,24.0,7.0,23.0,35.0,32
windows-10-domain-join-and-horizon-8-2013,10.0,9.0,11.0,10.0,18.0,8.0,11.0,11.0,10
windows-10-gpo-modernization-and-euc-product-updates-for-the-week-ending-november-30th-2019,,1.0,,5.0,4.0,1.0,3.0,1.0,1
windows-10-group-policies,2.0,7.0,8.0,31.0,34.0,7.0,99.0,10.0,11
windows-10-security-document,,,86.0,86.0,723.0,168.0,197.0,365.0,311
windows-10-security-documentosfpdetection,,,,,554.0,168.0,111.0,205.0,151
windows-10-security-documentx7pbiaaz,,,,,554.0,168.0,111.0,205.0,151
windows-application-delivery-design-considerations,3.0,4.0,5.0,6.0,14.0,5.0,8.0,4.0,10
windows-optimization,4.0,3.0,4.0,3.0,12.0,8.0,3.0,4.0,5
windows-updates,4.0,5.0,9.0,30.0,26.0,10.0,6.0,7.0,9
workspace-one-access-overview,4.0,5.0,8.0,14.0,10.0,4.0,7.0,2.0,4
workspace-one-access-update,,,,,,,111.0,115.0,134
workspace-one-assist-for-horizon,,,,107.0,107.0,50.0,105.0,107.0,142
workspace-one-cards-and-updates-to-the-uem-help-page,1.0,3.0,6.0,9.0,21.0,6.0,11.0,7.0,7
workspace-one-excel-add-in-fling,9.0,6.0,9.0,10.0,25.0,13.0,5.0,8.0,5
workspace-one-linux-management,,,,,,,,,244
workspace-one-tunnel-and-secure-access,97.0,21.0,29.0,24.0,25.0,11.0,26.0,81.0,160
workspace-one-uem-2004,2.0,3.0,4.0,3.0,14.0,5.0,5.0,3.0,4
workspace-one-uem-2007,3.0,5.0,9.0,4.0,12.0,4.0,9.0,9.0,9
workspace-one-uem-2010-horizon-713,2.0,3.0,9.0,7.0,23.0,10.0,22.0,34.0,31
workspace-one-uem-2101,3.0,2.0,5.0,3.0,19.0,8.0,8.0,11.0,225
workspace-one-uem-2102,1.0,12.0,12.0,6.0,24.0,14.0,7.0,5.0,7
workspace-one-uem-2107-and-assist-for-horizon,,,301.0,146.0,181.0,220.0,111.0,105.0,13
workspace-one-uem-2109,,,,,,,163.0,186.0,166
workspace-one-uem-ddui-beta-check-it-out,12.0,7.0,8.0,13.0,24.0,10.0,11.0,18.0,17
workspace-one-uem-doc-improvement-project-and-feedback,,,86.0,86.0,160.0,,86.0,766.0,422
workspace-one-uem-doc-improvement-project-and-feedbackosfpdetection,,,,,,,,597.0,262
workspace-one-uem-doc-improvement-project-and-feedbackworkspace-one-uem-doc-improvement-project-and-feedbackworkspace-one-uem-doc-improvement-project-and-feedback,,,,,,,,597.0,262
workspace-one-uem-doc-improvement-project-and-feedbackx70954nw,,,,,,,,597.0,262
workspace-one-uem-event-notifications,,,86.0,86.0,160.0,,217.0,396.0,700
workspace-one-uem-event-notificationsosfpdetection,,,,,,,131.0,236.0,532
workspace-one-uem-event-notificationsworkspace-one-uem-event-notificationsworkspace-one-uem-event-notifications,,,,,,,131.0,236.0,532
workspace-one-uem-event-notificationsx7hvo91h,,,,,,,131.0,236.0,532
workspace-one-uem-help-documentation,17.0,22.0,30.0,17.0,33.0,15.0,35.0,40.0,34
workspace-one-xr-hub,,,,,,,125.0,149.0,173
zebra-migration-device-admin-to-device-owner,17.0,4.0,15.0,12.0,28.0,13.0,171.0,183.0,225
,6.0,6.0,14.0,17.0,27.0,1.0,96.0,263.0,289
